Time(s) acc_x(g) acc_y(g) acc_z(g) gyr_x(°/s) gyr_y(°/s) gyr_z(°/s) mag_x(G) mag_y(G) mag_z(G) SVM(g) yaw(°) pitch(°) roll(°)
0.000;-0.34;0.30;0.77;-1.32;10.43;25.74;-29.93;-198.24;-347.00;0.89;154.70;-19.27;19.19 
0.030;-0.26;0.33;0.78;-6.75;1.53;22.75;-26.93;-197.29;-347.00;0.89;153.89;-19.14;19.41 
0.059;-0.26;0.30;0.78;-3.90;13.50;18.78;-26.93;-191.57;-345.00;0.88;153.07;-19.06;19.57 
0.089;-0.29;0.37;0.86;1.67;20.59;16.97;-27.93;-186.80;-344.00;0.98;152.47;-19.28;19.81 
0.119;-0.26;0.40;0.95;1.25;-2.02;19.48;-24.94;-183.95;-343.00;1.06;151.91;-19.31;20.15 
0.150;-0.20;0.35;0.82;-0.63;-20.59;22.89;-19.95;-186.80;-346.00;0.91;151.31;-18.52;20.54 
0.179;-0.19;0.31;0.66;-4.31;-10.37;18.09;-20.95;-189.66;-345.00;0.75;150.79;-17.63;20.82 
0.209;-0.21;0.34;0.71;-5.91;6.05;10.64;-17.96;-186.80;-348.00;0.81;150.36;-17.29;20.98 
0.240;-0.24;0.32;0.81;-8.90;13.29;6.68;-19.95;-187.76;-343.00;0.90;149.93;-17.38;20.98 
0.270;-0.26;0.38;0.89;-11.69;3.97;6.12;-21.95;-182.99;-344.00;1.00;149.56;-17.48;20.82 
0.299;-0.26;0.31;0.85;-13.50;-5.29;5.36;-24.94;-182.04;-339.00;0.94;149.24;-17.31;20.58 
0.329;-0.30;0.38;0.81;-13.36;-5.77;6.33;-23.94;-182.04;-346.00;0.94;148.99;-17.01;20.35 
0.358;-0.35;0.42;0.83;-7.44;0.07;13.01;-25.94;-182.04;-343.00;0.99;148.63;-16.79;20.27 
0.387;-0.36;0.38;0.86;-4.45;-6.47;19.90;-23.94;-182.99;-339.00;1.01;148.15;-16.55;20.40 
0.417;-0.34;0.31;0.80;-5.15;-16.07;22.89;-23.94;-182.04;-339.00;0.92;147.60;-16.01;20.59 
0.448;-0.32;0.29;0.73;-3.13;-4.45;19.62;-26.93;-183.95;-342.00;0.85;147.01;-15.40;20.76 
0.477;-0.26;0.26;0.77;-2.02;6.40;16.28;-24.94;-185.85;-343.00;0.85;146.44;-15.22;20.91 
0.507;-0.29;0.23;0.82;-2.50;2.99;12.10;-22.94;-182.04;-344.00;0.90;145.98;-15.22;21.00 
0.537;-0.28;0.26;0.80;-3.27;-6.61;8.28;-18.95;-180.13;-344.00;0.89;145.69;-14.98;21.01 
0.566;-0.28;0.26;0.77;-2.09;-1.60;5.84;-19.95;-182.99;-344.00;0.86;145.52;-14.69;21.00 
0.596;-0.32;0.26;0.84;1.46;8.70;5.22;-23.94;-181.09;-347.00;0.94;145.36;-14.71;21.12 
0.626;-0.27;0.24;0.88;-0.56;-6.82;3.27;-23.94;-182.04;-344.00;0.95;145.25;-14.72;21.19 
0.656;-0.26;0.27;0.84;-0.70;-17.04;6.54;-22.94;-182.04;-348.00;0.92;145.24;-14.26;21.25 
0.686;-0.25;0.22;0.77;-1.67;-11.34;5.15;-20.95;-184.90;-346.00;0.84;145.20;-13.74;21.31 
0.716;-0.27;0.26;0.78;-1.04;-2.85;1.32;-19.95;-189.66;-347.00;0.87;145.20;-13.49;21.31 
0.747;-0.25;0.31;0.78;-1.04;-1.74;1.39;-22.94;-187.76;-348.00;0.88;145.22;-13.36;21.35 
0.777;-0.25;0.31;0.83;-2.23;-5.15;4.52;-18.95;-187.76;-350.00;0.92;145.19;-13.18;21.42 
0.807;-0.28;0.30;0.80;-1.53;-6.19;9.60;-16.96;-190.62;-348.00;0.90;145.05;-12.91;21.49 
0.838;-0.28;0.21;0.82;-2.16;-6.75;13.98;-17.96;-189.66;-351.00;0.89;144.79;-12.52;21.59 
0.868;-0.20;0.18;0.77;-3.06;-4.03;6.19;-15.96;-194.43;-348.00;0.82;144.55;-12.16;21.52 
0.898;-0.22;0.17;0.80;-1.25;9.18;2.71;-19.95;-190.62;-351.00;0.85;144.38;-12.14;21.47 
0.928;-0.26;0.19;0.86;-2.50;7.23;-2.43;-18.95;-187.76;-349.00;0.92;144.31;-12.35;21.36 
0.957;-0.26;0.27;0.85;-4.03;1.39;-6.40;-18.95;-189.66;-347.00;0.93;144.41;-12.51;21.22 
0.986;-0.25;0.36;0.82;-3.48;-0.90;-3.69;-22.94;-186.80;-348.00;0.93;144.56;-12.54;21.14 
1.015;-0.27;0.25;0.81;0.56;1.46;1.39;-21.95;-189.66;-347.00;0.89;144.62;-12.50;21.18 
1.045;-0.29;0.33;0.77;-0.35;-0.28;-2.09;-19.95;-190.62;-347.00;0.89;144.73;-12.53;21.21 
1.074;-0.26;0.39;0.78;-0.63;2.09;4.38;-20.95;-188.71;-348.00;0.91;144.75;-12.53;21.32 
1.104;-0.26;0.26;0.81;0.42;3.62;12.59;-20.95;-189.66;-348.00;0.89;144.54;-12.49;21.49 
1.135;-0.26;0.22;0.86;-0.83;0.63;12.52;-19.95;-186.80;-350.00;0.92;144.19;-12.42;21.57 
1.165;-0.30;0.26;0.82;-2.09;2.09;15.10;-20.95;-183.95;-345.00;0.91;143.80;-12.29;21.63 
1.195;-0.25;0.21;0.82;-1.46;1.74;15.58;-16.96;-182.04;-348.00;0.88;143.36;-12.16;21.68 
1.225;-0.28;0.18;0.77;-1.74;5.36;12.10;-15.96;-181.09;-349.00;0.84;142.95;-12.11;21.71 
1.255;-0.27;0.22;0.83;-0.49;10.64;4.87;-16.96;-182.99;-350.00;0.90;142.69;-12.25;21.73 
1.285;-0.30;0.22;0.85;0.00;7.17;1.88;-13.97;-178.23;-351.00;0.93;142.56;-12.49;21.75 
1.315;-0.29;0.23;0.81;0.77;1.53;-0.42;-11.97;-177.27;-347.00;0.89;142.58;-12.58;21.77 
1.346;-0.30;0.30;0.78;1.95;5.91;-3.90;-14.96;-179.18;-345.00;0.89;142.70;-12.72;21.82 
1.376;-0.27;0.30;0.83;2.64;9.39;-4.45;-13.97;-182.04;-345.00;0.92;142.87;-13.01;21.92 
1.406;-0.29;0.29;0.77;1.46;1.81;-2.85;-12.97;-175.37;-348.00;0.87;143.02;-13.21;22.01 
1.436;-0.26;0.27;0.80;2.85;7.93;-3.97;-14.96;-176.32;-343.00;0.88;143.18;-13.29;22.10 
1.466;-0.28;0.31;0.85;2.23;12.52;-3.69;-11.97;-173.46;-344.00;0.95;143.32;-13.65;22.20 
1.496;-0.23;0.27;0.84;3.48;2.16;-4.31;-16.96;-174.41;-346.00;0.91;143.47;-13.87;22.30 
1.526;-0.29;0.30;0.80;5.57;4.17;-4.17;-11.97;-174.41;-344.00;0.90;143.69;-13.94;22.45 
1.555;-0.26;0.34;0.85;9.39;16.49;-2.37;-10.97;-174.41;-342.00;0.95;143.87;-14.30;22.75 
1.585;-0.24;0.39;0.94;9.46;5.98;0.77;-10.97;-168.70;-344.00;1.05;143.97;-14.57;23.08 
1.614;-0.18;0.38;0.82;5.43;-0.83;2.92;-9.98;-169.65;-341.00;0.92;144.04;-14.49;23.44 
1.644;-0.14;0.30;0.76;1.11;-0.35;-1.88;-4.99;-167.74;-342.00;0.83;144.10;-14.32;23.64 
1.674;-0.19;0.30;0.81;-1.95;2.78;-10.43;-8.98;-172.51;-344.00;0.88;144.33;-14.27;23.64 
1.704;-0.15;0.26;0.87;-3.34;1.53;-17.60;-10.97;-172.51;-344.00;0.92;144.72;-14.42;23.47 
1.735;-0.20;0.39;0.86;-7.79;-10.57;-21.08;-12.97;-171.56;-340.00;0.97;145.35;-14.41;23.19 
1.765;-0.25;0.41;0.77;-8.07;-8.35;-18.30;-18.95;-174.41;-342.00;0.91;146.02;-14.24;22.90 
1.795;-0.26;0.43;0.82;-5.98;3.90;-15.17;-18.95;-178.23;-342.00;0.96;146.51;-14.37;22.72 
1.825;-0.28;0.38;0.87;-2.43;2.37;-8.49;-23.94;-177.27;-339.00;0.99;146.83;-14.54;22.59 
1.856;-0.27;0.35;0.90;0.56;-9.53;-5.22;-24.94;-178.23;-342.00;1.00;147.08;-14.50;22.58 
1.886;-0.27;0.30;0.80;1.32;-15.10;-4.73;-23.94;-181.09;-345.00;0.90;147.37;-14.14;22.61 
1.916;-0.26;0.29;0.72;1.60;-7.30;-8.63;-21.95;-183.95;-344.00;0.82;147.72;-13.86;22.62 
1.947;-0.26;0.26;0.74;0.83;-2.09;-11.90;-26.93;-185.85;-347.00;0.83;148.12;-13.86;22.63 
1.977;-0.29;0.26;0.83;-1.74;-4.17;-12.59;-25.94;-186.80;-346.00;0.92;148.54;-13.91;22.52 
2.007;-0.32;0.26;0.82;-2.57;-4.38;-15.44;-28.93;-188.71;-346.00;0.92;148.98;-13.94;22.34 
2.037;-0.34;0.26;0.82;3.34;4.10;-16.14;-27.93;-187.76;-345.00;0.92;149.49;-14.16;22.20 
2.067;-0.34;0.26;0.82;4.94;-3.27;-16.42;-28.93;-188.71;-344.00;0.92;150.05;-14.46;22.16 
2.097;-0.30;0.21;0.74;3.20;-6.26;-16.35;-27.93;-190.62;-346.00;0.83;150.64;-14.50;22.09 
2.127;-0.28;0.19;0.71;4.24;7.10;-19.76;-27.93;-196.34;-345.00;0.79;151.23;-14.72;22.01 
2.158;-0.33;0.21;0.84;6.75;11.13;-18.92;-31.92;-194.43;-349.00;0.93;151.85;-15.30;21.93 
2.188;-0.34;0.21;0.90;3.41;2.02;-18.09;-34.91;-193.48;-348.00;0.98;152.48;-15.77;21.83 
2.218;-0.32;0.21;0.84;1.53;-4.17;-20.10;-35.91;-195.38;-348.00;0.92;153.09;-16.01;21.65 
2.248;-0.35;0.19;0.80;1.25;1.11;-19.90;-35.91;-193.48;-350.00;0.89;153.71;-16.18;21.44 
