Time(s) acc_x(g) acc_y(g) acc_z(g) gyr_x(°/s) gyr_y(°/s) gyr_z(°/s) mag_x(G) mag_y(G) mag_z(G) SVM(g) yaw(°) pitch(°) roll(°)
0.000;-0.34;0.22;0.88;2.23;5.84;-2.64;175.71;130.39;-305.00;0.97;89.99;-21.65;22.86 
0.029;-0.32;0.24;0.81;1.74;-2.02;-3.34;176.71;129.43;-308.00;0.90;90.00;-21.68;22.95 
0.058;-0.33;0.26;0.79;0.97;-3.20;-3.13;175.71;130.39;-309.00;0.89;90.07;-21.55;23.05 
0.087;-0.30;0.24;0.80;0.83;2.92;-2.64;173.71;129.43;-310.00;0.89;90.09;-21.49;23.14 
0.117;-0.30;0.24;0.82;-0.35;2.09;-2.99;175.71;130.39;-312.00;0.91;90.07;-21.52;23.21 
0.146;-0.32;0.21;0.82;-0.35;-0.83;-1.53;173.71;130.39;-311.00;0.90;90.07;-21.47;23.26 
0.175;-0.33;0.23;0.82;0.35;-0.56;-2.50;169.72;128.47;-311.00;0.91;90.09;-21.39;23.30 
0.205;-0.33;0.23;0.82;0.56;0.28;-2.50;177.71;128.47;-308.00;0.91;90.10;-21.35;23.36 
0.234;-0.34;0.24;0.83;0.90;1.04;-3.27;172.71;129.43;-307.00;0.93;90.11;-21.37;23.41 
0.263;-0.37;0.22;0.84;0.77;-1.32;-4.31;174.71;130.39;-310.00;0.94;90.16;-21.37;23.45 
0.292;-0.34;0.21;0.82;1.25;-1.53;-4.31;171.72;130.39;-312.00;0.91;90.26;-21.31;23.48 
0.321;-0.34;0.22;0.85;1.53;-1.11;-4.59;170.72;131.35;-309.00;0.94;90.36;-21.27;23.50 
0.350;-0.34;0.22;0.80;1.46;0.00;-4.10;171.72;131.35;-312.00;0.90;90.45;-21.27;23.53 
0.379;-0.34;0.20;0.82;1.32;0.07;-4.24;170.72;125.60;-311.00;0.91;90.54;-21.27;23.54 
0.408;-0.35;0.22;0.78;0.49;-0.42;-3.83;168.72;130.39;-311.00;0.88;90.63;-21.22;23.55 
0.438;-0.36;0.22;0.82;0.14;-1.04;-2.02;169.72;129.43;-314.00;0.92;90.69;-21.19;23.54 
0.468;-0.34;0.22;0.81;-0.83;0.70;-0.70;169.72;128.47;-312.00;0.91;90.68;-21.15;23.55 
0.498;-0.35;0.21;0.80;-1.67;0.14;0.35;169.72;127.51;-313.00;0.90;90.64;-21.11;23.53 
0.528;-0.34;0.20;0.81;-1.25;2.16;0.14;170.72;128.47;-311.00;0.90;90.57;-21.08;23.54 
0.558;-0.36;0.23;0.85;-1.39;1.25;1.95;170.72;131.35;-314.00;0.95;90.48;-21.07;23.53 
0.589;-0.36;0.21;0.81;-1.04;1.18;2.50;169.72;129.43;-309.00;0.91;90.36;-21.03;23.52 
0.619;-0.32;0.20;0.82;-0.77;0.97;2.16;169.72;129.43;-313.00;0.90;90.25;-20.99;23.53 
0.649;-0.34;0.19;0.78;-0.70;0.90;2.16;169.72;127.51;-312.00;0.87;90.15;-20.92;23.54 
0.679;-0.36;0.17;0.79;-0.63;0.97;2.09;172.71;129.43;-313.00;0.88;90.03;-20.88;23.56 
0.709;-0.35;0.19;0.82;-0.90;0.97;2.02;172.71;128.47;-309.00;0.91;89.93;-20.83;23.56 
0.739;-0.34;0.19;0.85;-0.90;0.63;1.81;170.72;127.51;-314.00;0.93;89.83;-20.76;23.55 
0.769;-0.34;0.18;0.82;-1.39;1.18;1.88;171.72;126.55;-310.00;0.91;89.73;-20.70;23.55 
0.800;-0.34;0.17;0.86;-1.11;1.81;1.53;173.71;128.47;-313.00;0.94;89.63;-20.66;23.54 
0.830;-0.33;0.17;0.81;-1.04;1.32;0.49;173.71;126.55;-310.00;0.89;89.54;-20.66;23.51 
0.860;-0.34;0.19;0.83;-0.83;0.56;0.07;172.71;128.47;-314.00;0.92;89.48;-20.63;23.49 
0.891;-0.33;0.16;0.81;-0.35;1.11;-0.56;172.71;127.51;-312.00;0.89;89.44;-20.61;23.47 
0.921;-0.32;0.19;0.81;-0.35;1.74;-1.39;171.72;129.43;-312.00;0.89;89.42;-20.64;23.43 
